date,open,high,low,close,adj_close,volume,rsi,macd,macd_signal,macd_hist,sma_20,ema_20,bb_upper,bb_middle,bb_lower,atr,returns,volatility,day_of_week,day_of_month,month,week_of_year
2011-09-21,194.5014190673828,194.5014190673828,190.24978637695312,191.46127319335938,173.0828399658203,17030216,56.14355014838878,2.4171620764871307,1.1225575579465623,1.2946045185405683,183.77458953857422,186.2262287003685,200.21066771470566,183.77458953857422,167.33851136244277,6.277119463816108,-0.016670574612188682,0.02618601565386134,2,21,9,38
2011-09-22,188.3411102294922,189.2440185546875,178.2948760986328,179.7463836669922,162.49244689941406,27298045,44.84691221184058,1.5654892009826824,1.2111438865537865,0.35434531442889594,184.01574478149413,185.60910060195172,200.062183345493,184.01574478149413,167.96930621749527,6.7692107231668555,-0.06118673155660137,0.03023791245830268,3,22,9,38
2011-09-23,176.90052795410156,181.17503356933594,174.660400390625,176.1461944580078,159.2378692626953,38513013,42.046928973516714,0.5931892140333446,1.0875529520496983,-0.4943637380163537,184.1220359802246,184.70787144538562,199.92859987942325,184.1220359802246,168.31547208102597,6.751026612848576,-0.02002927199722848,0.03059453868446805,4,23,9,38
2011-09-26,175.82618713378906,176.16905212402344,170.87734985351562,173.54034423828125,156.8821258544922,27202137,40.09560892998198,-0.38321836266052856,0.793398689107653,-1.1766170517681815,184.18718185424805,183.6442974256614,199.80691741891926,184.18718185424805,168.56744628957685,6.646789159824236,-0.014793678783380004,0.03069810447907699,0,26,9,39
2011-09-27,176.9233856201172,183.02655029296875,176.46621704101562,182.2265167236328,164.73451232910156,22046959,48.650156262030485,-0.4509288485589025,0.5445331815743419,-0.9954620301332444,185.07637100219728,183.50927069213486,197.86752830813467,185.07637100219728,172.2852136962599,6.8496046523144685,0.050052755879203215,0.030453868263809015,1,27,9,39
2011-09-28,182.8094024658203,184.30661010742188,180.37498474121094,182.2265167236328,164.73451232910156,25034598,48.650156262030485,-0.49883958425067476,0.3358586284093386,-0.8346982126600133,185.55811004638673,183.38710364751563,197.09659027789232,185.55811004638673,174.01962981488114,6.641177560449931,0.0,0.028710629858289996,2,28,9,39
2011-09-29,180.69500732421875,185.78097534179688,179.31207275390625,184.6266326904297,166.9042510986328,31511671,50.89723092871073,-0.33922946148121014,0.20084101043122887,-0.540070471912439,185.8449821472168,183.50515403255508,196.9843706644246,185.8449821472168,174.705593630009,6.628872205267123,0.013171057703072586,0.027764325209980914,3,29,9,39
2011-09-30,183.6665802001953,188.10108947753906,181.1521759033203,184.77520751953125,167.03854370117188,34944185,51.04006011099669,-0.19846080956560286,0.12098064643186252,-0.3194414559974654,185.8781265258789,183.6261115075052,197.00062814324255,185.8781265258789,174.75562490851527,6.651732303049381,0.0008047312943777474,0.027016440066513183,4,30,9,39
2011-10-03,180.85501098632812,182.84368896484375,179.23207092285156,180.1692657470703,162.874755859375,21109422,46.52223491667646,-0.4533358725680614,0.006117342631877742,-0.45945321519993915,185.87069778442384,183.2968881017495,197.0082326909155,185.87069778442384,174.7331628779322,6.572546895451546,-0.024927271544122442,0.02721457308706272,0,3,10,40
2011-10-04,179.20921325683594,180.76358032226562,174.92327880859375,176.37478637695312,159.4445037841797,26251892,43.134846929799025,-0.9505516024788392,-0.18521644639026566,-0.7653351560885735,185.30038299560547,182.63764031843556,197.13457924901712,185.30038299560547,173.46618674219383,6.520243653895855,-0.021060636254376708,0.025837567830309695,1,4,10,40
